event_type,key,timestamp
D,16,1726422807478865800
D,84,1726422807597081200
U,84,1726422807693767400
U,16,1726422807715784000
D,72,1726422807822838000
U,72,1726422807928203000
D,73,1726422808059241700
U,73,1726422808155462400
D,78,1726422808228485900
U,78,1726422808340905300
D,71,1726422808341412200
U,71,1726422808438705300
D,83,1726422808632479400
U,83,1726422808747533100
D,32,1726422808783635100
U,32,1726422808891641600
D,65,1726422808911766300
U,65,1726422809046069300
D,82,1726422809186404200
D,69,1726422809274988200
U,82,1726422809381439200
U,69,1726422809424477100
D,78,1726422809477992800
U,78,1726422809566323900
D,39,1726422809759161800
U,39,1726422809884413900
D,84,1726422809958747900
U,84,1726422810064543400
D,32,1726422810138814300
U,32,1726422810226348000
D,84,1726422810261269400
U,84,1726422810351105300
D,72,1726422810391740400
U,72,1726422810444069100
D,69,1726422810500959100
U,69,1726422810607166500
D,32,1726422810626101600
U,32,1726422810742774600
D,87,1726422810778950700
U,87,1726422810895481300
D,65,1726422811048170600
D,89,1726422811093673500
U,65,1726422811116106800
U,89,1726422811188810400
D,32,1726422811366926100
U,32,1726422811472929500
D,84,1726422811792274700
U,84,1726422811880718400
D,72,1726422811957558800
U,72,1726422812055205100
D,69,1726422812098534000
D,89,1726422812197023900
U,69,1726422812221037700
U,89,1726422812282998000
D,32,1726422812399127000
U,32,1726422812515162000
D,87,1726422812546056900
U,87,1726422812688816100
D,69,1726422812871568700
D,82,1726422813038679000
U,69,1726422813039891700
D,69,1726422813144647800
U,82,1726422813171064200
U,69,1726422813304661100
D,32,1726422813323140200
U,32,1726422813429989200
D,66,1726422813541834500
U,66,1726422813636085900
D,69,1726422813637087700
U,69,1726422813733798400
D,70,1726422813881186800
U,70,1726422813960971600
D,79,1726422814022068000
U,79,1726422814118733600
D,82,1726422814146207000
D,69,1726422814298226200
U,82,1726422814387480800
U,69,1726422814483311600
D,32,1726422814778090300
U,32,1726422814911477700
D,16,1726422815057049200
D,89,1726422815158360300
U,89,1726422815237079700
U,16,1726422815277001600
D,79,1726422815405084000
U,79,1726422815530408700
D,85,1726422815688911900
U,85,1726422815785458000
D,32,1726422815944400700
U,32,1726422816059816700
D,87,1726422816171930900
U,87,1726422816304473300
D,79,1726422816325746900
U,79,1726422816431725800
D,85,1726422816680572500
U,85,1726422816760760000
D,76,1726422816891200100
U,76,1726422816997657800
D,68,1726422817086020100
U,68,1726422817191586300
D,78,1726422817287549300
U,78,1726422817367818100
D,39,1726422817586861700
U,39,1726422817720160000
D,84,1726422817752943900
U,84,1726422817914431300
D,32,1726422817996545100
U,32,1726422818131009300
D,69,1726422818398265600
U,69,1726422818513400800
D,86,1726422818628266100
D,69,1726422818706336000
U,86,1726422818795509800
D,78,1726422818847650400
U,69,1726422818872125900
U,78,1726422818925007200
D,32,1726422819028363500
U,32,1726422819126975100
D,82,1726422819184333400
D,69,1726422819308341500
U,82,1726422819380777000
U,69,1726422819468073000
D,67,1726422819659846900
U,67,1726422819793275800
D,79,1726422819834160100
U,79,1726422819930235400
D,71,1726422820013236100
U,71,1726422820083621900
D,78,1726422820160165600
U,78,1726422820258992600
D,73,1726422820319297000
U,73,1726422820417819800
D,83,1726422820545126900
U,83,1726422820688288100
D,69,1726422820803672900
U,69,1726422820892965100
D,32,1726422820920636400
U,32,1726422821027943300
D,77,1726422821145491500
U,77,1726422821250649800
D,69,1726422821297796500
U,69,1726422821404773400
D,32,1726422821429112500
U,32,1726422821518782700
D,65,1726422821602077600
D,78,1726422821727273000
U,65,1726422821727273000
U,78,1726422821815797300
D,89,1726422821944421700
U,89,1726422822051968100
D,77,1726422822253588200
U,77,1726422822366869500
D,79,1726422822421710900
D,82,1726422822490675300
U,79,1726422822516928800
D,69,1726422822594576200
U,82,1726422822711068100
U,69,1726422822780644500
D,67,1726422823724746000
U,67,1726422823929789900
D,86,1726422824964616700
U,86,1726422825080762100
D,67,1726422825350197300
