event_type,key,timestamp
D,16,1726483742453104800
D,73,1726483742554122200
U,16,1726483742686028600
D,32,1726483742686028600
U,73,1726483742686028600
U,32,1726483742832344100
D,84,1726483742836828600
U,84,1726483742887468800
D,82,1726483743001292900
U,82,1726483743083887700
D,73,1726483743156212400
U,73,1726483743272202600
D,69,1726483743272731700
U,69,1726483743299158300
D,68,1726483743416604000
U,68,1726483743506121500
D,32,1726483743537136700
U,32,1726483743665069000
D,83,1726483743928027700
D,79,1726483744010558200
U,83,1726483744032525000
U,79,1726483744086932500
D,32,1726483744110429100
U,32,1726483744232137100
D,72,1726483744321760600
D,65,1726483744385959200
U,72,1726483744423423900
D,82,1726483744500223800
U,65,1726483744562199100
U,82,1726483744604007800
D,65,1726483746335995900
U,65,1726483746441165800
D,78,1726483746486482500
U,78,1726483746580144300
D,68,1726483746581165500
U,68,1726483746684004500
D,32,1726483746736280100
U,32,1726483746860999300
D,71,1726483746862201500
D,79,1726483746907996700
U,71,1726483746935171300
U,79,1726483747034447800
D,84,1726483747034447800
D,32,1726483747077034900
U,84,1726483747109008300
U,32,1726483747217166600
D,83,1726483747261520700
D,79,1726483747299776000
U,83,1726483747339482600
U,79,1726483747386010400
D,32,1726483747407095200
D,70,1726483747506199900
U,32,1726483747534259300
U,70,1726483747684814800
D,65,1726483747684814800
D,82,1726483747768623600
U,65,1726483747802654000
U,82,1726483747910622600
D,85,1726483749065137500
D,84,1726483749100721300
U,84,1726483749144605300
U,85,1726483749170034900
D,8,1726483749680499800
U,8,1726483749783941100
D,16,1726483749900527100
U,16,1726483750234086600
D,85,1726483750369231700
U,85,1726483750507543000
D,84,1726483750509595900
U,84,1726483750577210700
D,32,1726483750622161300
U,32,1726483750724265600
D,8,1726483751026076900
U,8,1726483751091263400
D,8,1726483751163783400
U,8,1726483751221176600
D,8,1726483751365705100
U,8,1726483751440793300
D,8,1726483751519906300
U,8,1726483751606326100
D,16,1726483751765882600
D,66,1726483751893180200
U,66,1726483751952659400
U,16,1726483752024741900
D,85,1726483752086042500
U,85,1726483752198787300
D,84,1726483752213528100
U,84,1726483752289587300
D,32,1726483752308309700
D,73,1726483752368952700
U,32,1726483752435882500
D,78,1726483752436925300
U,73,1726483752486470300
U,78,1726483752574017900
D,84,1726483752576236900
U,84,1726483752634945400
D,72,1726483752686111500
U,72,1726483752816145000
D,8,1726483753126129400
U,8,1726483753176480700
D,8,1726483753269267000
U,8,1726483753336796300
D,32,1726483753466195600
U,32,1726483753583216800
D,84,1726483753635098800
U,84,1726483753669444700
D,72,1726483753689755300
U,72,1726483753793191600
D,69,1726483753794197300
U,69,1726483753872229000
D,32,1726483753892181500
U,32,1726483753989435800
D,69,1726483754011611800
U,69,1726483754071277700
D,78,1726483754091640800
D,68,1726483754171230800
U,78,1726483754197089900
U,68,1726483754302827300
D,16,1726483754683561100
D,73,1726483754778971800
U,16,1726483754866075000
U,73,1726483754867454900
D,84,1726483755147182000
U,84,1726483755253304600
D,32,1726483755308419800
U,32,1726483755448488700
D,68,1726483755517943800
U,68,1726483755570243000
D,79,1726483755592061100
D,69,1726483755679909400
U,79,1726483755705970400
U,69,1726483755754626800
D,78,1726483755866674100
U,78,1726483755999344500
D,8,1726483756247277900
U,8,1726483756340017300
D,83,1726483756368662100
U,83,1726483756435690700
D,78,1726483756500115900
D,39,1726483756648870000
U,78,1726483756648870000
U,39,1726483756782403900
D,84,1726483756782403900
U,84,1726483756869528200
D,32,1726483756916684000
U,32,1726483757017283700
D,69,1726483757073696300
U,69,1726483757184814200
D,86,1726483757202621600
D,69,1726483757308870800
U,86,1726483757353822800
D,78,1726483757448747100
U,69,1726483757449746100
U,78,1726483757520124500
D,32,1726483757552419300
D,77,1726483757682109800
U,32,1726483757710698900
U,77,1726483757787084200
D,65,1726483757788093700
U,65,1726483757882768200
D,84,1726483758222600400
U,84,1726483758303175500
D,84,1726483758417214900
U,84,1726483758549671200
D,69,1726483758637948500
D,82,1726483758726817800
U,69,1726483758786787200
U,82,1726483758852286300
D,16,1726483760623530400
D,73,1726483760703634700
U,16,1726483760796024700
U,73,1726483760797017000
D,32,1726483760817199000
U,32,1726483760905374600
D,72,1726483760971863300
D,74,1726483760973912200
U,72,1726483761038124600
U,74,1726483761039866500
D,65,1726483761040886400
D,68,1726483761116947300
U,65,1726483761167985800
D,32,1726483761257937500
U,68,1726483761258979400
U,32,1726483761351209400
D,84,1726483761403949400
D,79,1726483761490122900
U,84,1726483761491373000
U,79,1726483761553256300
D,67,1726483764523947500
